usuario,ronda,iteracion,sliderDissatisfiedSatisfied,sliderBoredExcited,time,risk,arrival,global_id
GEGJ,0,0,0,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,0
GEGJ,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,0
GEGJ,0,2,0,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,0
GEGJ,0,3,25,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,0
LFP,0,0,0,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,1
LFP,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,1
LFP,0,2,0,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,1
LFP,0,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,1
ARH,0,0,25,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,2
ARH,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,2
ARH,0,2,25,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,2
ARH,0,3,25,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,2
ARH,1,0,100,100,0.4595593475463711,0.868748699972358,0.2627338334810066,2
ARH,1,1,25,50,0.4597135588354613,0.8667269593721654,0.2885390361195653,2
ARH,1,2,25,25,0.458904671142526,0.8955263303423449,0.3041781438270339,2
ARH,1,3,0,0,0.45818913617361284,0.8999651727342828,0.2728599727503848,2
ARH,2,0,25,25,0.9219601121361245,0.7537132885032378,0.1712264503559322,2
ARH,2,1,75,50,0.563977369645388,0.7477512837514338,0.19206996963422457,2
ARH,2,2,0,0,0.6175550841412343,0.8764958567394897,0.00019563587043873595,2
ARH,2,3,100,100,0.536927344854439,0.7857077406717486,0.04768013220747465,2
GBS,0,0,50,100,0.5255373137825703,0.6452670144837881,0.2768108646941967,3
GBS,0,1,25,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,3
GBS,0,2,25,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,3
GBS,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,3
ALC,0,0,75,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,4
ALC,0,1,25,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,4
ALC,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,4
ALC,0,3,75,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,4
ALC,1,0,100,75,0.4595593475463711,0.868748699972358,0.2627338334810066,4
ALC,1,1,75,75,0.4597135588354613,0.8667269593721654,0.2885390361195653,4
ALC,1,2,25,50,0.458904671142526,0.8955263303423449,0.3041781438270339,4
ALC,1,3,50,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,4
LAAR,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,5
LAAR,0,1,25,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,5
LAAR,0,2,0,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,5
LAAR,0,3,0,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,5
ROCA,0,0,0,0,0.5255373137825703,0.6452670144837881,0.2768108646941967,6
ROCA,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,6
ROCA,0,2,0,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,6
ROCA,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,6
ROCA,1,0,100,75,0.4595593475463711,0.868748699972358,0.2627338334810066,6
ROCA,1,1,100,100,0.4597135588354613,0.8667269593721654,0.2885390361195653,6
ROCA,1,2,0,0,0.458904671142526,0.8955263303423449,0.3041781438270339,6
ROCA,1,3,0,0,0.45818913617361284,0.8999651727342828,0.2728599727503848,6
ALBG,0,0,75,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,7
ALBG,0,1,0,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,7
ALBG,0,2,25,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,7
ALBG,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,7
NHS,0,0,25,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,8
NHS,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,8
NHS,0,2,100,100,0.4846596000512216,0.9272238212895264,0.1449310118720613,8
NHS,0,3,25,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,8
EBJ,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,9
EBJ,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,9
EBJ,0,2,0,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,9
EBJ,0,3,0,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,9
JNRD,0,0,75,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,10
JNRD,0,1,25,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,10
JNRD,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,10
JNRD,0,3,50,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,10
JAIA,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,11
JAIA,0,1,0,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,11
JAIA,0,2,50,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,11
JAIA,0,3,50,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,11
JAIA,1,0,75,75,0.4595593475463711,0.868748699972358,0.2627338334810066,11
JAIA,1,1,75,75,0.4597135588354613,0.8667269593721654,0.2885390361195653,11
JAIA,1,2,50,50,0.458904671142526,0.8955263303423449,0.3041781438270339,11
JAIA,1,3,25,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,11
