usuario,ronda,iteracion,sliderDissatisfiedSatisfied,sliderBoredExcited,time,risk,arrival,age,gender,education,nivelFamiliaridad,nivelConocimiento,global_id
GEGJ,0,0,0,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,37,Male,Doctorate,Seen both physical and virtual service robots,Never programmed robots,0
GEGJ,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,37,Male,Doctorate,Seen both physical and virtual service robots,Never programmed robots,0
GEGJ,0,2,0,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,37,Male,Doctorate,Seen both physical and virtual service robots,Never programmed robots,0
GEGJ,0,3,25,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,37,Male,Doctorate,Seen both physical and virtual service robots,Never programmed robots,0
lfp,0,0,0,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,44,Male,Doctorate,Seen virtual service robots,Never programmed robots,1
lfp,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,44,Male,Doctorate,Seen virtual service robots,Never programmed robots,1
lfp,0,2,0,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,44,Male,Doctorate,Seen virtual service robots,Never programmed robots,1
lfp,0,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,44,Male,Doctorate,Seen virtual service robots,Never programmed robots,1
ARH,0,0,25,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,0,2,25,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,0,3,25,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,1,0,100,100,0.4595593475463711,0.868748699972358,0.2627338334810066,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,1,1,25,50,0.4597135588354613,0.8667269593721654,0.2885390361195653,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,1,2,25,25,0.458904671142526,0.8955263303423449,0.3041781438270339,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,1,3,0,0,0.45818913617361284,0.8999651727342828,0.2728599727503848,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,2,0,25,25,0.9219601121361245,0.7537132885032378,0.1712264503559322,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,2,1,75,50,0.563977369645388,0.7477512837514338,0.19206996963422457,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,2,2,0,0,0.6175550841412343,0.8764958567394897,0.00019563587043873595,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
ARH,2,3,100,100,0.536927344854439,0.7857077406717486,0.04768013220747465,36,Female,Doctorate,Seen physical service robots,Programmed physical robots,2
GBS,0,0,50,100,0.5255373137825703,0.6452670144837881,0.2768108646941967,49,Male,Doctorate,Seen physical service robots,Never programmed robots,3
GBS,0,1,25,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,49,Male,Doctorate,Seen physical service robots,Never programmed robots,3
GBS,0,2,25,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,49,Male,Doctorate,Seen physical service robots,Never programmed robots,3
GBS,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,49,Male,Doctorate,Seen physical service robots,Never programmed robots,3
ALC,0,0,75,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,38,Male,Doctorate,Seen physical service robots,Programmed physical robots,4
ALC,0,1,25,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,38,Male,Doctorate,Seen physical service robots,Programmed physical robots,4
ALC,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,38,Male,Doctorate,Seen physical service robots,Programmed physical robots,4
ALC,0,3,75,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,38,Male,Doctorate,Seen physical service robots,Programmed physical robots,4
ALC,1,0,100,75,0.4595593475463711,0.868748699972358,0.2627338334810066,38,Male,Doctorate,Seen physical service robots,Programmed physical robots,4
ALC,1,1,75,75,0.4597135588354613,0.8667269593721654,0.2885390361195653,38,Male,Doctorate,Seen physical service robots,Programmed physical robots,4
ALC,1,2,25,50,0.458904671142526,0.8955263303423449,0.3041781438270339,38,Male,Doctorate,Seen physical service robots,Programmed physical robots,4
ALC,1,3,50,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,38,Male,Doctorate,Seen physical service robots,Programmed physical robots,4
LAAR,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,50,Male,Doctorate,Seen physical service robots,Programmed physical robots,5
LAAR,0,1,25,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,50,Male,Doctorate,Seen physical service robots,Programmed physical robots,5
LAAR,0,2,0,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,50,Male,Doctorate,Seen physical service robots,Programmed physical robots,5
LAAR,0,3,0,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,50,Male,Doctorate,Seen physical service robots,Programmed physical robots,5
ROCA,0,0,0,0,0.5255373137825703,0.6452670144837881,0.2768108646941967,53,Male,Master,Used service robots,Never programmed robots,6
ROCA,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,53,Male,Master,Used service robots,Never programmed robots,6
ROCA,0,2,0,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,53,Male,Master,Used service robots,Never programmed robots,6
ROCA,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,53,Male,Master,Used service robots,Never programmed robots,6
ROCA,1,0,100,75,0.4595593475463711,0.868748699972358,0.2627338334810066,53,Male,Master,Used service robots,Never programmed robots,6
ROCA,1,1,100,100,0.4597135588354613,0.8667269593721654,0.2885390361195653,53,Male,Master,Used service robots,Never programmed robots,6
ROCA,1,2,0,0,0.458904671142526,0.8955263303423449,0.3041781438270339,53,Male,Master,Used service robots,Never programmed robots,6
ROCA,1,3,0,0,0.45818913617361284,0.8999651727342828,0.2728599727503848,53,Male,Master,Used service robots,Never programmed robots,6
